Home team,Away team,result
AS Roma,Fiorentina, ppd. 
Genoa,Inter, ppd. 
Hellas Verona,Lazio, ppd. 
Bologna,Lecce, ppd. 
Brescia,Parma, ppd. 
Juventus,Sampdoria, ppd. 
SSC Napoli,Sassuolo, -:- 
SPAL,Torino, ppd. 
Cagliari Calcio,Udinese Calcio, ppd. 
Parma,Atalanta, ppd. 
Fiorentina,Bologna, ppd. 
Lazio,Brescia, ppd. 
Sassuolo,Genoa, -:- 
Cagliari Calcio,Juventus, ppd. 
Udinese Calcio,Lecce, ppd. 
Sampdoria,AC Milan, ppd. 
Torino,AS Roma, ppd. 
Hellas Verona,SPAL, ppd. 
Inter,SSC Napoli, ppd. 
AC Milan,Cagliari Calcio, -:- 
SPAL,Fiorentina, -:- 
Genoa,Hellas Verona, -:- 
Atalanta,Inter, -:- 
SSC Napoli,Lazio, -:- 
Lecce,Parma, -:- 
Juventus,AS Roma, -:- 
Brescia,Sampdoria, -:- 
Bologna,Torino, -:- 
Sassuolo,Udinese Calcio, -:- 
